Date,Open,High,Low,Close,Volume,Adj Close
2017-03-23,2625.00,2647.70,2620.00,2631.20,316100,2631.20
2017-03-22,2570.70,2659.8999,2555.20,2629.6499,886100,2629.6499
2017-03-21,2730.00,2730.00,2600.00,2623.25,1453600,2623.25
2017-03-20,2742.00,2746.00,2730.00,2734.3501,401000,2734.3501
2017-03-17,2753.00,2753.00,2724.00,2736.25,363300,2736.25
2017-03-16,2750.00,2765.00,2745.05,2751.70,311800,2751.70
2017-03-15,2724.00,2756.00,2724.00,2739.6001,277800,2739.6001
2017-03-14,2746.70,2754.8501,2716.70,2741.00,497800,2741.00
2017-03-13,2715.8501,2715.8501,2715.8501,2715.8501,000,2715.8501
2017-03-10,2708.8999,2732.8999,2701.00,2715.8501,548800,2715.8501
2017-03-09,2770.00,2783.00,2700.00,2704.8501,2195200,2704.8501
2017-03-08,2849.00,2872.75,2823.00,2846.80,366100,2846.80
2017-03-07,2869.00,2883.20,2850.00,2852.30,209800,2852.30
2017-03-06,2884.00,2884.00,2851.00,2858.8501,212000,2858.8501
2017-03-03,2881.55,2893.80,2863.6001,2871.1001,291200,2871.1001
2017-03-02,2909.8999,2909.8999,2862.3999,2870.50,425800,2870.50
2017-03-01,2855.00,2948.80,2850.1001,2923.30,898000,2923.30
2017-02-28,2870.25,2873.00,2845.00,2849.95,542600,2849.95
2017-02-27,2884.70,2886.8501,2846.70,2857.00,714900,2857.00
2017-02-24,2887.3999,2887.3999,2887.3999,2887.3999,000,2887.3999
2017-02-23,2924.00,2924.00,2875.00,2887.3999,747300,2887.3999
2017-02-22,2902.00,2927.00,2894.25,2903.20,856400,2903.20
2017-02-21,2898.00,2935.1001,2885.1001,2894.05,1524400,2894.05
2017-02-20,2922.3999,2925.05,2890.00,2898.75,560300,2898.75
2017-02-17,2926.00,2953.75,2900.00,2912.70,897400,2912.70
2017-02-16,2914.1001,2942.50,2798.95,2923.20,1367800,2923.20
2017-02-15,2940.00,2943.95,2906.20,2911.3501,191000,2911.3501
2017-02-14,2971.80,2971.80,2935.00,2941.45,280700,2941.45
2017-02-13,2980.95,2988.25,2955.45,2966.95,150500,2966.95
2017-02-10,3024.8999,3034.3501,2970.00,2976.05,315000,2976.05
2017-02-09,3022.00,3029.3999,3003.00,3023.1001,188700,3023.1001
2017-02-08,3067.95,3067.95,3001.00,3015.45,382600,3015.45
2017-02-07,3095.00,3110.00,3047.00,3065.1001,193300,3065.1001
2017-02-06,3170.00,3177.00,3045.8999,3096.80,496900,3096.80
2017-02-03,3110.00,3159.00,3082.95,3144.55,276500,3144.55
2017-02-02,3003.1001,3139.50,2982.05,3097.05,503800,3097.05
2017-02-01,3021.1001,3032.95,2944.1001,3001.20,266500,3001.20
2017-01-31,3024.00,3042.00,3012.20,3018.80,144600,3018.80
2017-01-30,2990.00,3043.8999,2984.05,3017.05,192600,3017.05
2017-01-27,2970.00,3011.55,2960.00,2994.55,192100,2994.55
2017-01-26,2996.30,2996.30,2996.30,2996.30,000,2996.30
2017-01-25,2975.00,3009.00,2955.6499,2996.30,327600,2996.30
2017-01-24,2940.25,2979.80,2931.75,2973.3501,199200,2973.3501
2017-01-23,2939.00,2959.95,2904.00,2923.6499,239300,2923.6499
2017-01-20,2940.00,2959.70,2920.00,2947.3999,240800,2947.3999
2017-01-19,2958.00,2974.75,2933.45,2940.25,281400,2940.25
2017-01-18,2976.6001,2982.20,2942.00,2948.05,431000,2948.05
2017-01-17,2988.05,3000.00,2970.75,2976.55,117600,2976.55
2017-01-16,2999.00,3007.00,2965.3501,2985.30,201600,2985.30
2017-01-13,2992.00,3004.00,2975.00,2979.75,197500,2979.75
2017-01-12,2977.00,3019.1001,2943.00,3008.50,434300,3008.50
2017-01-11,3055.05,3060.00,3021.95,3042.45,277000,3042.45
2017-01-10,3070.8501,3074.00,3035.1499,3041.8501,246000,3041.8501
2017-01-09,3154.00,3154.00,3051.8501,3060.20,280200,3060.20
2017-01-06,3148.80,3203.8501,3145.70,3159.1499,354000,3159.1499
