Date,Open,High,Low,Close,Volume,Adj Close
2017-03-23,16.200001,16.639999,16.200001,16.49,591500,16.49
2017-03-22,15.96,16.34,15.96,16.27,590400,16.27
2017-03-21,16.120001,16.24,15.76,15.78,397900,15.78
2017-03-20,16.219999,16.35,16.07,16.299999,378100,16.299999
2017-03-17,16.27,16.33,16.059999,16.110001,598100,16.110001
2017-03-16,16.030001,16.360001,16.030001,16.299999,417300,16.299999
2017-03-15,15.48,15.98,15.44,15.93,631900,15.93
2017-03-14,15.22,15.33,15.15,15.31,251000,15.31
2017-03-13,15.07,15.39,15.07,15.33,312600,15.33
2017-03-10,14.87,14.87,14.59,14.74,243300,14.74
2017-03-09,15.01,15.13,14.94,14.96,467800,14.96
2017-03-08,15.04,15.08,14.82,14.89,277700,14.89
2017-03-07,15.67,15.67,15.38,15.44,180600,15.44
2017-03-06,15.98,15.99,15.73,15.81,200600,15.81
2017-03-03,16.129999,16.15,15.93,16.139999,257200,16.139999
2017-03-02,16.01,16.110001,15.98,16.030001,500400,16.030001
2017-03-01,15.67,16.09,15.67,16.040001,344200,16.040001
2017-02-28,15.43,15.56,15.37,15.37,331500,15.37
2017-02-27,15.23,15.34,15.13,15.21,256400,15.21
2017-02-24,15.38,15.38,15.16,15.35,317800,15.35
2017-02-23,15.54,15.58,15.32,15.40,355500,15.40
2017-02-22,15.43,15.50,15.38,15.46,295700,15.46
2017-02-21,15.69,15.89,15.67,15.89,274000,15.89
2017-02-17,15.42,15.51,15.35,15.49,294900,15.49
2017-02-16,15.54,15.70,15.45,15.54,576600,15.54
2017-02-15,14.77,14.88,14.65,14.67,196600,14.67
2017-02-14,15.01,15.01,14.68,14.91,390900,14.91
2017-02-13,15.17,15.44,15.16,15.39,190100,15.39
2017-02-10,14.88,15.14,14.87,15.03,421200,15.03
2017-02-09,14.91,14.91,14.74,14.87,151700,14.87
2017-02-08,14.90,14.92,14.71,14.91,142100,14.91
2017-02-07,14.74,14.79,14.62,14.65,156900,14.65
2017-02-06,14.78,14.78,14.68,14.76,127700,14.76
2017-02-03,14.88,14.94,14.66,14.80,187900,14.80
2017-02-02,15.29,15.44,15.26,15.32,222100,15.32
2017-02-01,15.27,15.38,14.77,15.24,534900,15.24
2017-01-31,14.86,14.91,14.63,14.80,246800,14.80
2017-01-30,15.12,15.16,14.86,14.99,279800,14.99
2017-01-27,15.07,15.10,14.96,15.02,123700,15.02
2017-01-26,15.00,15.16,14.95,15.11,144800,15.11
2017-01-25,15.02,15.17,14.97,15.15,209800,15.15
2017-01-24,14.69,14.92,14.69,14.86,285300,14.86
2017-01-23,14.19,14.45,14.19,14.44,245000,14.44
2017-01-20,14.04,14.04,13.83,13.93,152200,13.93
2017-01-19,14.30,14.30,14.14,14.20,157300,14.20
2017-01-18,14.14,14.43,14.12,14.34,316700,14.34
2017-01-17,13.89,13.96,13.80,13.83,142500,13.83
2017-01-13,13.97,14.04,13.84,13.98,105600,13.98
2017-01-12,14.02,14.18,14.00,14.11,164900,14.11
2017-01-11,13.73,13.98,13.73,13.81,471000,13.81
2017-01-10,13.57,13.73,13.57,13.69,370800,13.69
2017-01-09,13.38,13.52,13.34,13.41,225700,13.41
2017-01-06,13.40,13.49,13.32,13.38,165900,13.38
2017-01-05,13.18,13.48,13.18,13.36,288700,13.36
2017-01-04,12.78,12.79,12.62,12.76,241200,12.76
2017-01-03,12.70,12.84,12.60,12.82,222500,12.82
2016-12-30,12.70,12.70,12.41,12.42,200800,12.42
2016-12-29,12.54,12.78,12.54,12.73,213900,12.73
2016-12-28,12.47,12.48,12.36,12.36,272400,12.36
2016-12-27,12.58,12.71,12.55,12.62,159400,12.62
2016-12-23,12.58,12.73,12.58,12.72,147500,12.72
2016-12-22,12.76,12.76,12.48,12.60,231200,12.60
2016-12-21,13.16,13.30,13.12,13.20,293400,13.20
2016-12-20,12.93,13.24,12.91,13.21,313800,13.21
2016-12-19,13.11,13.16,12.88,12.93,580500,12.93
2016-12-16,13.45,13.45,13.11,13.11,869300,13.11
2016-12-15,13.71,13.80,13.56,13.66,589800,13.66
2016-12-14,13.74,13.79,13.42,13.46,558500,13.46
2016-12-13,14.05,14.11,13.76,13.86,595700,13.86
2016-12-12,14.34,14.40,14.22,14.31,297600,14.31
2016-12-09,14.32,14.32,14.11,14.14,257200,14.14
2016-12-08,14.23,14.37,14.15,14.22,226400,14.22
2016-12-07,13.61,13.82,13.60,13.79,208200,13.79
2016-12-06,13.49,13.50,13.35,13.40,211300,13.40
2016-12-05,13.44,13.46,13.25,13.37,238600,13.37
2016-12-02,13.01,13.14,12.98,13.05,239900,13.05
2016-12-01,13.31,13.34,12.97,13.05,389100,13.05
2016-11-30,13.30,13.50,13.30,13.40,612900,13.40
2016-11-29,13.21,13.23,13.06,13.12,542800,13.12
2016-11-28,13.29,13.45,13.25,13.35,504100,13.35
2016-11-25,12.97,13.07,12.83,13.06,165000,13.06
2016-11-23,12.53,12.85,12.49,12.75,316000,12.75
2016-11-22,12.08,12.49,12.08,12.45,537600,12.45
2016-11-21,11.59,11.83,11.55,11.75,250900,11.75
2016-11-18,12.13,12.13,11.84,11.88,258300,11.88
2016-11-17,12.62,12.74,12.51,12.54,200500,12.54
2016-11-16,12.12,12.20,12.05,12.19,359300,12.19
2016-11-15,12.47,12.69,12.47,12.65,399800,12.65
2016-11-14,13.41,13.46,13.19,13.37,437700,13.37
2016-11-11,13.31,13.44,13.17,13.39,345600,13.39
2016-11-10,13.55,13.66,13.34,13.39,425600,13.39
2016-11-09,12.94,13.24,12.93,13.15,366600,13.15
2016-11-08,13.14,13.34,13.03,13.18,410300,13.18
2016-11-07,12.85,13.10,12.84,13.07,322000,13.07
2016-11-04,12.44,12.62,12.44,12.51,136600,12.51
2016-11-03,12.98,13.08,12.84,12.90,154300,12.796999
2016-11-02,13.04,13.05,12.80,12.88,228600,12.77716
2016-11-01,12.99,13.22,12.61,13.09,504200,12.985483
2016-10-31,11.96,12.11,11.95,12.06,244300,11.963707
2016-10-28,11.94,12.06,11.86,11.92,123200,11.824825
2016-10-27,11.91,11.91,11.78,11.78,105800,11.685942
2016-10-26,11.96,11.98,11.82,11.94,148300,11.844664
2016-10-25,12.03,12.24,12.02,12.10,287400,12.003388
2016-10-24,11.91,12.00,11.80,11.93,246700,11.834745
2016-10-21,12.04,12.06,11.86,11.96,555700,11.864505
2016-10-20,12.24,12.31,12.18,12.20,600500,12.102589
2016-10-19,11.78,11.92,11.72,11.85,225800,11.755384
2016-10-18,11.66,11.73,11.61,11.67,185500,11.576821
2016-10-17,11.42,11.53,11.41,11.41,188500,11.318896
2016-10-14,11.62,11.64,11.36,11.42,398000,11.328817
2016-10-13,11.43,11.46,11.30,11.33,424300,11.239535
2016-10-12,11.77,11.86,11.64,11.67,166500,11.576821
2016-10-11,11.69,11.91,11.63,11.89,248500,11.795064
2016-10-10,11.89,11.99,11.79,11.86,123400,11.765303
2016-10-07,11.83,11.83,11.55,11.63,96900,11.53714
2016-10-06,11.59,11.76,11.52,11.72,189600,11.626422
2016-10-05,11.38,11.42,11.26,11.41,260100,11.318896
2016-10-04,11.09,11.21,10.91,10.96,379300,10.87249
2016-10-03,10.60,10.69,10.57,10.64,138100,10.555045
2016-09-30,10.34,10.43,10.30,10.37,145700,10.2872
2016-09-29,10.10,10.15,9.85,9.94,514300,9.860633
2016-09-28,10.44,10.59,10.22,10.52,326300,10.436003
2016-09-27,9.90,9.95,9.83,9.92,56200,9.840794
2016-09-26,10.06,10.09,9.99,10.03,88200,9.949915
