Date,Open,High,Low,Close,Volume,Adj Close
2017-03-23,266.00,270.35001,263.64999,265.70001,13869100,265.70001
2017-03-22,258.50,262.35001,255.50,261.10001,12903800,261.10001
2017-03-21,263.54999,264.04999,257.64999,261.64999,8771400,261.64999
2017-03-20,265.64999,265.70001,261.20001,263.29999,11405100,263.29999
2017-03-17,267.00,268.64999,261.10001,264.85001,10817300,264.85001
2017-03-16,260.50,265.39999,259.04999,264.54999,13837200,264.54999
2017-03-15,254.10001,257.00,251.10001,256.10001,9289500,256.10001
2017-03-14,254.00,257.25,251.70,253.70,10922200,253.70
2017-03-13,248.50,248.50,248.50,248.50,000,248.50
2017-03-10,253.39999,255.00,247.25,248.50,10464600,248.50
2017-03-09,253.50,255.64999,249.64999,252.60001,14714000,252.60001
2017-03-08,260.35001,261.00,250.25,252.20,15429800,252.20
2017-03-07,266.00,266.95001,259.29999,260.35001,9252800,260.35001
2017-03-06,269.25,270.00,263.10001,266.25,6902200,266.25
2017-03-03,269.25,271.64999,264.10001,267.50,10162700,267.50
2017-03-02,269.00,276.00,268.00,270.89999,20340300,270.89999
2017-03-01,261.00,266.89999,257.54999,265.50,11659000,265.50
2017-02-28,255.80,260.79999,255.10001,259.10001,8429400,259.10001
2017-02-27,260.00,263.70001,255.00,255.55,10760200,255.55
2017-02-24,262.85001,262.85001,262.85001,262.85001,000,262.85001
2017-02-23,262.39999,267.20001,259.54999,262.85001,12089100,262.85001
2017-02-22,271.00,271.00,262.10001,262.89999,9040900,262.89999
2017-02-21,271.00,274.60001,267.60001,268.85001,11722200,268.85001
2017-02-20,263.25,272.35001,260.79999,270.39999,11942100,270.39999
2017-02-17,263.50,266.00,259.25,263.45001,11546100,263.45001
2017-02-16,249.20,264.45001,242.85001,263.20001,17458400,263.20001
2017-02-15,251.55,256.54999,245.10001,247.64999,11609500,247.64999
2017-02-14,257.75,257.85001,249.25,253.60001,14729300,253.60001
2017-02-13,252.05,258.45001,251.55,256.14999,13320200,256.14999
2017-02-10,250.75,252.25,245.35001,248.00,9070800,248.00
2017-02-09,253.60001,254.80,246.75,249.30,7214200,249.30
2017-02-08,249.00,253.25,248.64999,252.35001,6387300,252.35001
2017-02-07,251.20,255.70,246.75,248.05,9233100,248.05
2017-02-06,252.10001,256.00,248.30,250.75,6348700,250.75
2017-02-03,258.89999,260.39999,248.30,250.75,9854500,250.75
2017-02-02,259.00,262.20001,253.70,259.85001,8017200,259.85001
2017-02-01,254.89999,261.50,250.10001,260.54999,8526200,260.54999
2017-01-31,261.00,261.79999,252.20,253.10001,8807000,253.10001
2017-01-30,256.70001,261.79999,253.55,260.70001,10211800,260.70001
2017-01-27,258.00,259.39999,256.00,257.54999,7166500,257.54999
2017-01-26,258.60001,258.60001,258.60001,258.60001,000,258.60001
2017-01-25,255.00,259.39999,252.80,258.60001,15675200,258.60001
2017-01-24,246.30,253.14999,245.14999,252.45,10381600,252.45
2017-01-23,238.89999,245.75,238.25,245.25,7508800,245.25
2017-01-20,243.60001,245.30,237.30,238.55,8761500,238.55
2017-01-19,243.80,246.39999,241.10001,245.25,8091000,245.25
2017-01-18,238.00,246.20,237.00,244.39999,12128800,244.39999
2017-01-17,243.95,244.30,235.20,236.10001,7220500,236.10001
2017-01-16,239.00,244.00,236.70,243.35001,7271200,243.35001
2017-01-13,241.75,243.39999,237.14999,238.30,8225900,238.30
2017-01-12,238.10001,241.60001,235.20,240.75,6798400,240.75
2017-01-11,234.75,238.39999,234.10001,237.60001,13171400,237.60001
2017-01-10,232.30,235.35001,229.30,232.60001,10164400,232.60001
2017-01-09,230.89999,233.45,230.20,232.55,8181300,232.55
2017-01-06,228.50,233.70,226.45,230.60001,11996300,230.60001
2017-01-05,219.00,228.70,218.75,227.64999,15074800,227.64999
2017-01-04,221.55,222.50,216.35001,216.80,6764500,216.80
2017-01-03,222.70,223.89999,219.10001,219.64999,6963200,219.64999
2017-01-02,216.45,222.00,214.50,220.95,7344700,220.95
2016-12-30,218.05,219.80,214.85001,216.14999,6694400,216.14999
2016-12-29,212.70,219.10001,211.39999,217.00,9268600,217.00
2016-12-28,215.70,217.64999,210.75,211.89999,9487900,211.89999
2016-12-27,208.14999,215.50,204.80,214.64999,10688700,214.64999
2016-12-26,214.05,214.55,206.80,208.55,10583400,208.55
2016-12-23,215.00,219.39999,211.30,216.64999,13207300,216.64999
2016-12-22,224.80,224.85001,215.05,216.64999,10456800,216.64999
2016-12-21,225.10001,227.89999,222.50,226.10001,7327900,226.10001
2016-12-20,226.95,228.20,221.70,224.39999,6958800,224.39999
2016-12-19,227.95,232.05,225.10001,227.25,8533600,227.25
2016-12-16,236.20,238.70,229.70,230.30,9753200,230.30
2016-12-15,232.75,239.30,231.20,236.10001,9081900,236.10001
2016-12-14,238.64999,240.70,235.20,235.89999,11286700,235.89999
2016-12-13,245.10001,246.25,238.80,239.95,15817100,239.95
2016-12-12,245.35001,248.64999,243.75,246.80,9602100,246.80
2016-12-09,243.10001,246.50,241.85001,245.45,11710900,245.45
2016-12-08,234.35001,244.89999,233.80,242.95,17131100,242.95
2016-12-07,228.89999,233.50,228.00,231.45,8896900,231.45
2016-12-06,228.00,230.45,226.05,229.10001,8399400,229.10001
2016-12-05,222.10001,227.60001,222.00,226.60001,8193800,226.60001
2016-12-02,224.00,227.45,221.70,223.05,8595500,223.05
2016-12-01,233.05,233.39999,226.25,226.89999,9165000,226.89999
2016-11-30,226.50,230.95,222.60001,229.85001,13649800,229.85001
2016-11-29,229.39999,232.30,227.55,228.55,14745700,228.55
2016-11-28,223.50,229.89999,219.80,228.60001,14342100,228.60001
2016-11-25,223.70,228.50,219.80,223.25,16972400,223.25
2016-11-24,217.00,223.85001,215.25,221.80,21724800,221.80
2016-11-23,210.60001,217.89999,208.50,216.80,18128300,216.80
2016-11-22,201.00,208.14999,200.39999,206.89999,12753900,206.89999
2016-11-21,204.10001,207.89999,192.20,196.75,16042500,196.75
2016-11-18,214.20,214.80,201.80,203.35001,13408100,203.35001
2016-11-17,207.10001,218.00,204.89999,213.89999,18214500,213.89999
2016-11-16,215.55,216.00,205.05,206.70,13357800,206.70
2016-11-15,226.25,229.80,207.89999,209.55,19801500,209.55
2016-11-14,229.80,229.80,229.80,229.80,000,229.80
2016-11-11,226.00,233.50,224.35001,229.80,17352100,229.80
2016-11-10,224.05,233.70,223.05,229.30,22574200,229.30
2016-11-09,205.20,218.85001,197.89999,217.64999,18615600,217.64999
2016-11-08,217.45,222.50,215.39999,219.85001,13020700,219.85001
2016-11-07,217.20,219.85001,213.85001,215.75,10599200,215.75
2016-11-04,219.80,222.20,207.35001,212.75,16862500,212.75
2016-11-03,217.00,225.89999,216.30,217.80,16636000,217.80
2016-11-02,215.00,222.25,214.60001,218.25,18435200,218.25
2016-11-01,204.95,223.30,202.55,219.80,32288700,219.80
2016-10-31,202.60001,202.60001,202.60001,202.60001,000,202.60001
2016-10-28,200.64999,204.00,198.60001,202.60001,14116700,202.60001
2016-10-27,201.00,202.50,199.00,199.64999,11324300,199.64999
2016-10-26,202.10001,205.64999,199.20,201.39999,7907400,201.39999
2016-10-25,202.30,204.70,197.89999,203.95,9453300,203.95
2016-10-24,203.50,205.85001,201.60001,202.35001,7033000,202.35001
2016-10-21,207.39999,207.39999,202.05,203.10001,9803800,203.10001
2016-10-20,200.10001,208.55,199.50,207.60001,15749400,207.60001
2016-10-19,197.50,200.89999,196.25,198.50,10003800,198.50
2016-10-18,195.00,196.80,192.45,196.39999,10308900,196.39999
2016-10-17,194.00,198.00,191.20,193.00,8720700,193.00
2016-10-14,195.70,197.70,192.80,195.70,8106300,195.70
2016-10-13,197.89999,199.35001,192.39999,196.00,12212400,196.00
2016-10-12,199.55,199.55,199.55,199.55,000,199.55
2016-10-11,199.55,199.55,199.55,199.55,000,199.55
2016-10-10,198.00,201.70,196.80,199.55,13383500,199.55
2016-10-07,197.05,198.14999,192.75,194.85001,16820200,194.85001
2016-10-06,192.00,201.39999,190.39999,197.50,25679200,197.50
2016-10-05,188.30,193.00,188.10001,191.70,15449200,191.70
2016-10-04,179.89999,188.25,178.95,187.00,18699000,187.00
2016-10-03,173.85001,179.25,173.20,178.75,10155700,178.75
2016-09-30,164.50,173.75,164.50,172.05,10684200,172.05
2016-09-29,176.50,177.89999,166.50,168.60001,17069500,168.60001
2016-09-28,165.95,175.45,165.70,174.80,10469900,174.80
2016-09-27,169.10001,170.00,165.55,166.60001,5235700,166.60001
2016-09-26,169.10001,171.20,167.00,168.60001,8560500,168.60001
2016-09-23,169.00,172.80,167.25,170.39999,12914400,170.39999
2016-09-22,167.45,170.35001,165.30,168.64999,8346500,168.64999
2016-09-21,164.00,166.89999,163.20,165.25,6661000,165.25
2016-09-20,164.75,165.70,162.80,164.14999,6518700,164.14999
2016-09-19,161.80,165.89999,161.10001,164.70,6832800,164.70
